Velocity,Repitition,Sustain,PitchIndex,Pitch,Time,Delete
p,1,0,12,C0,10,
p,1,0,13,C#0,22,d
p,1,0,13,C#0,35,
p,1,0,14,D0,46,
p,1,0,15,D#0,57,
p,1,0,16,E0,68,
p,1,0,17,F0,100,
p,1,0,18,F#0,110,
p,1,0,19,G0,121,
p,1,0,20,G#0,132,
p,1,0,21,A0,143,
p,1,0,22,A#0,154,
p,1,0,23,B0,165,
p,1,0,24,C1,176,
p,1,0,25,C#1,187,
p,1,0,26,D1,198,
p,1,0,27,D#1,209,
p,1,0,28,E1,220,
p,1,0,29,F1,231,
p,1,0,30,F#1,242,
p,1,0,31,G1,253,
p,1,0,32,G#1,264,
p,1,0,33,A1,275,
p,1,0,34,A#1,286,
p,1,0,35,B1,297,
p,1,0,36,C2,308,
p,1,0,37,C#2,319,
p,1,0,38,D2,330,
p,1,0,39,D#2,341,
p,1,0,40,E2,352,
p,1,0,41,F2,363,
p,1,0,42,F#2,374,
p,1,0,43,G2,385,
p,1,0,44,G#2,396,
p,1,0,45,A2,407,
p,1,0,46,A#2,418,
p,1,0,47,B2,429,
p,1,0,48,C3,440,
p,1,0,49,C#3,451,
p,1,0,50,D3,462,
p,1,0,51,D#3,473,
p,1,0,52,E3,484,
p,1,0,53,F3,495,
p,1,0,54,F#3,506,
p,1,0,55,G3,517,
p,1,0,56,G#3,528,
p,1,0,57,A3,539,
p,1,0,58,A#3,550,
p,1,0,59,B3,561,
p,1,0,60,C4,572,
p,1,0,61,C#4,583,
p,1,0,62,D4,594,
p,1,0,63,D#4,605,
p,1,0,64,E4,616,
p,1,0,65,F4,627,
p,1,0,66,F#4,638,
p,1,0,67,G4,649,
p,1,0,68,G#4,660,
p,1,0,69,A4,671,
p,1,0,70,A#4,682,
p,1,0,71,B4,693,
p,1,0,72,C5,704,
