Velocity,Repitition,Sustain,PitchIndex,Pitch,Time,Delete
f,1,0,12,C0,17,
f,1,0,13,C#0,27,
f,1,0,14,D0,47,
f,1,0,15,D#0,58,
f,1,0,16,E0,69,
f,1,0,17,F0,79,
f,1,0,18,F#0,90,
f,1,0,19,G0,100,
f,1,0,20,G#0,110,
f,1,0,21,A0,121,
f,1,0,22,A#0,131,
f,1,0,23,B0,141,
f,1,0,24,C1,151,d
f,1,0,24,C1,162,
f,1,0,25,C#1,172,
f,1,0,26,D1,182,
f,1,0,27,D#1,192,
f,1,0,28,E1,202,
f,1,0,29,F1,212,
f,1,0,30,F#1,222,
f,1,0,31,G1,232,
f,1,0,32,G#1,242,
f,1,0,33,A1,252,d
f,1,0,33,A1,263,
f,1,0,34,A#1,273,
f,1,0,35,B1,284,
f,1,0,36,C2,294,
f,1,0,37,C#2,304,
f,1,0,38,D2,314,
f,1,0,39,D#2,324,
f,1,0,40,E2,334,
f,1,0,41,F2,344,
f,1,0,42,F#2,354,d
f,1,0,42,F#2,364,d
f,1,0,42,F#2,374,
f,1,0,43,G2,385,
f,1,0,44,G#2,395,
f,1,0,45,A2,405,
f,1,0,46,A#2,421,
f,1,0,47,B2,432,
f,1,0,48,C3,442,
f,1,0,49,C#3,452,
f,1,0,50,D3,462,
f,1,0,51,D#3,472,
f,1,0,52,E3,483,
f,1,0,53,F3,493,
f,1,0,54,F#3,503,
f,1,0,55,G3,513,
f,1,0,56,G#3,523,
f,1,0,57,A3,533,
f,1,0,58,A#3,543,
f,1,0,59,B3,553,
f,1,0,60,C4,563,
f,1,0,61,C#4,573,
f,1,0,62,D4,583,d
f,1,0,62,D4,600,
f,1,0,63,D#4,611,
f,1,0,64,E4,622,
f,1,0,65,F4,632,
f,1,0,66,F#4,643,
f,1,0,67,G4,653,
f,1,0,68,G#4,663,
f,1,0,69,A4,674,
f,1,0,70,A#4,684,
f,1,0,71,B4,695,
f,1,0,72,C5,705,
f,1,0,73,C#5,720,
