Velocity,Repitition,Sustain,PitchIndex,Pitch,Time,Delete
f,1,0,12,C0,23,
f,1,0,13,C#0,35,
f,1,0,14,D0,46,
f,1,0,15,D#0,57,
f,1,0,16,E0,68,
f,1,0,17,F0,79,
f,1,0,18,F#0,90,
f,1,0,19,G0,101,
f,1,0,20,G#0,112,d
f,1,0,20,G#0,117,
f,1,0,21,A0,128,
f,1,0,22,A#0,140,
f,1,0,23,B0,151,
f,1,0,24,C1,162,d
f,1,0,24,C1,171,
f,1,0,25,C#1,182,
f,1,0,26,D1,193,
f,1,0,27,D#1,204,
f,1,0,28,E1,215,
f,1,0,29,F1,227,
f,1,0,30,F#1,238,d
f,1,0,30,F#1,242,
f,1,0,31,G1,253,
f,1,0,32,G#1,264,d
f,1,0,32,G#1,269,
f,1,0,33,A1,280,d
f,1,0,33,A1,288,
f,1,0,34,A#1,299,d
f,1,0,34,A#1,305,d
f,1,0,34,A#1,319,
f,1,0,35,B1,330,
f,1,0,36,C2,341,
f,1,0,37,C#2,352,d
f,1,0,37,C#2,361,d
f,1,0,37,C#2,367,
f,1,0,38,D2,378,
f,1,0,39,D#2,390,
f,1,0,40,E2,403,d
f,1,0,40,E2,408,d
f,1,0,40,E2,416,
f,1,0,41,F2,427,
f,1,0,42,F#2,438,
f,1,0,43,G2,449,d
f,1,0,43,G2,461,
