Velocity,Repitition,PitchIndex,Pitch,Time,Delete
f,1,0,28,E1,4,
f,1,0,29,F1,15,
f,1,0,30,F#1,26,d
f,1,0,30,F#1,30,
f,1,0,31,G1,41,
f,1,0,32,G#1,52,
f,1,0,33,A1,63,
f,1,0,34,A#1,74,d
f,1,0,34,A#1,78,
f,1,0,35,B1,89,
f,1,0,36,C2,100,
f,1,0,37,C#2,111,
f,1,0,38,D2,122,
f,1,0,39,D#2,133,
f,1,0,40,E2,144,
f,1,0,41,F2,155,
f,1,0,42,F#2,166,
f,1,0,43,G2,177,
f,1,0,44,G#2,188,
f,1,0,45,A2,199,
f,1,0,46,A#2,210,
f,1,0,47,B2,221,
f,1,0,48,C3,232,
f,1,0,49,C#3,243,d
f,1,0,49,C#3,247,
f,1,0,50,D3,258,
f,1,0,51,D#3,269,
f,1,0,52,E3,280,
f,1,0,53,F3,291,d
f,1,0,53,F3,297,
f,1,0,54,F#3,308,
f,1,0,55,G3,319,
f,1,0,56,G#3,330,
f,1,0,57,A3,341,
f,1,0,58,A#3,352,
f,1,0,59,B3,363,
f,1,0,60,C4,374,d
f,1,0,60,C4,383,d
f,1,0,60,C4,388,
f,1,0,61,C#4,399,
f,1,0,62,D4,410,
f,1,0,63,D#4,421,d
f,1,0,63,D#4,426,d
f,1,0,63,D#4,431,
f,1,0,64,E4,442,d
f,1,0,64,E4,452,
f,1,0,65,F4,463,
f,1,0,66,F#4,474,
f,1,0,67,G4,485,
f,1,0,68,G#4,496,
f,1,0,69,A4,507,
f,1,0,70,A#4,518,
f,1,0,71,B4,529,
f,1,0,72,C5,540,
