Velocity,Repitition,PitchIndex,Pitch,Time,Delete
f,1,0,12,C0,3,
f,1,0,13,C#0,14,
f,1,0,14,D0,25,
f,1,0,15,D#0,36,
f,1,0,16,E0,47,
f,1,0,17,F0,58,
f,1,0,18,F#0,69,
f,1,0,19,G0,80,
f,1,0,20,G#0,91,
f,1,0,21,A0,102,
f,1,0,22,A#0,113,
f,1,0,23,B0,124,
f,1,0,24,C1,135,
f,1,0,25,C#1,146,
f,1,0,26,D1,157,
f,1,0,27,D#1,168,
f,1,0,28,E1,179,d
f,1,0,28,E1,184,
f,1,0,29,F1,195,
f,1,0,30,F#1,206,
f,1,0,31,G1,217,
f,1,0,32,G#1,228,d
f,1,0,32,G#1,233,
f,1,0,33,A1,244,
f,1,0,34,A#1,255,
f,1,0,35,B1,266,
f,1,0,36,C2,277,
f,1,0,37,C#2,288,
f,1,0,38,D2,299,d
f,1,0,38,D2,304,
f,1,0,39,D#2,315,
f,1,0,40,E2,326,
f,1,0,41,F2,337,
f,1,0,42,F#2,348,
f,1,0,43,G2,359,
