Velocity,Repitition,PitchIndex,Pitch,Time,Delete
pp,1,0,53,F3,4,
pp,2,0,53,F3,14,
mp,1,0,53,F3,24,d
mp,1,0,53,F3,39,
mp,2,0,53,F3,50,
f,1,0,53,F3,61,
f,2,0,53,F3,74,
pp,1,0,54,F#3,88,
pp,2,0,54,F#3,95,d
pp,2,0,54,F#3,99,d
pp,2,0,54,F#3,103,
mp,1,0,54,F#3,110,
mp,2,0,54,F#3,118,
f,1,0,54,F#3,125,
f,2,0,54,F#3,134,
pp,1,0,55,G3,144,
pp,2,0,55,G3,155,
mp,1,0,55,G3,164,
mp,2,0,55,G3,174,
f,1,0,55,G3,185,
f,2,0,55,G3,198,
pp,1,0,56,G#3,211,
pp,2,0,56,G#3,218,
mp,1,0,56,G#3,227,
mp,2,0,56,G#3,234,
f,1,0,56,G#3,241,
f,2,0,56,G#3,249,
pp,1,0,57,A3,257,d
pp,1,0,57,A3,261,
pp,2,0,57,A3,268,
mp,1,0,57,A3,277,
mp,2,0,57,A3,286,
f,1,0,57,A3,296,
f,2,0,57,A3,303,
pp,1,0,58,A#3,312,
pp,2,0,58,A#3,319,
mp,1,0,58,A#3,325,
mp,2,0,58,A#3,333,
f,1,0,58,A#3,341,
f,2,0,58,A#3,350,
pp,1,0,59,B3,359,
pp,2,0,59,B3,369,
mp,1,0,59,B3,377,
mp,2,0,59,B3,387,
f,1,0,59,B3,396,
f,2,0,59,B3,408,
pp,1,0,60,C4,421,
pp,2,0,60,C4,427,d
pp,2,0,60,C4,431,
mp,1,0,60,C4,438,
mp,2,0,60,C4,448,
f,1,0,60,C4,456,
f,2,0,60,C4,471,
pp,1,0,61,C#4,485,d
pp,1,0,61,C#4,490,
pp,2,0,61,C#4,497,
mp,1,0,61,C#4,504,d
mp,1,0,61,C#4,508,
mp,2,0,61,C#4,516,
f,1,0,61,C#4,524,
f,2,0,61,C#4,532,
pp,1,0,62,D4,540,d
pp,1,0,62,D4,544,
pp,2,0,62,D4,553,
mp,1,0,62,D4,561,
mp,2,0,62,D4,574,
f,1,0,62,D4,584,
f,2,0,62,D4,598,
pp,1,0,63,D#4,630,d
pp,1,0,63,D#4,634,
pp,2,0,63,D#4,644,
mp,1,0,63,D#4,654,
mp,2,0,63,D#4,665,
f,1,0,63,D#4,676,
f,2,0,63,D#4,689,
pp,1,0,64,E4,702,d
pp,1,0,64,E4,706,d
pp,1,0,64,E4,714,
pp,2,0,64,E4,722,
mp,1,0,64,E4,729,
mp,2,0,64,E4,741,
f,1,0,64,E4,752,
f,2,0,64,E4,766,
pp,1,0,65,F4,781,d
pp,1,0,65,F4,792,d
pp,1,0,65,F4,796,d
pp,1,0,65,F4,804,
pp,2,0,65,F4,812,d
pp,2,0,65,F4,817,d
pp,2,0,65,F4,822,
mp,1,0,65,F4,829,
mp,2,0,65,F4,838,
f,1,0,65,F4,846,d
f,1,0,65,F4,851,
f,2,0,65,F4,861,
pp,1,0,66,F#4,871,d
pp,1,0,66,F#4,875,
pp,2,0,66,F#4,883,
mp,1,0,66,F#4,893,
mp,2,0,66,F#4,904,
f,1,0,66,F#4,914,
f,2,0,66,F#4,926,
pp,1,0,67,G4,939,d
pp,1,0,67,G4,943,
pp,2,0,67,G4,950,
mp,1,0,67,G4,957,
mp,2,0,67,G4,968,
f,1,0,67,G4,979,
f,2,0,67,G4,991,
pp,1,0,68,G#4,1002,
pp,2,0,68,G#4,1011,
mp,1,0,68,G#4,1034,
mp,2,0,68,G#4,1043,
f,1,0,68,G#4,1051,
f,2,0,68,G#4,1062,
pp,1,0,69,A4,1075,
pp,2,0,69,A4,1083,d
pp,2,0,69,A4,1089,
mp,1,0,69,A4,1096,
mp,2,0,69,A4,1105,
f,1,0,69,A4,1114,
f,2,0,69,A4,1124,
pp,1,0,70,A#4,1135,
pp,2,0,70,A#4,1145,
mp,1,0,70,A#4,1155,
mp,2,0,70,A#4,1167,
f,1,0,70,A#4,1180,
f,2,0,70,A#4,1193,
pp,1,0,71,B4,1206,
pp,2,0,71,B4,1215,
mp,1,0,71,B4,1224,
mp,2,0,71,B4,1238,
f,1,0,71,B4,1253,
f,2,0,71,B4,1272,
pp,1,0,72,C5,1291,
pp,2,0,72,C5,1304,
mp,1,0,72,C5,1314,
mp,2,0,72,C5,1326,
f,1,0,72,C5,1338,
f,2,0,72,C5,1351,
pp,1,0,73,C#5,1362,
pp,2,0,73,C#5,1368,d
pp,2,0,73,C#5,1372,
mp,1,0,73,C#5,1379,
mp,2,0,73,C#5,1388,
f,1,0,73,C#5,1397,
f,2,0,73,C#5,1433,
pp,1,0,74,D5,1443,d
pp,1,0,74,D5,1447,
pp,2,0,74,D5,1456,
mp,1,0,74,D5,1490,d
mp,1,0,74,D5,1496,
mp,2,0,74,D5,1507,
f,1,0,74,D5,1518,
f,2,0,74,D5,1529,
pp,1,0,75,D#5,1541,
pp,2,0,75,D#5,1550,
mp,1,0,75,D#5,1557,
mp,2,0,75,D#5,1565,
f,1,0,75,D#5,1574,
f,2,0,75,D#5,1583,
pp,1,0,76,E5,1592,d
pp,1,0,76,E5,1596,
pp,2,0,76,E5,1604,
mp,1,0,76,E5,1612,
mp,2,0,76,E5,1623,
f,1,0,76,E5,1635,
f,2,0,76,E5,1646,
pp,1,0,77,F5,1678,
pp,2,0,77,F5,1688,
mp,1,0,77,F5,1698,
mp,2,0,77,F5,1709,
f,1,0,77,F5,1720,
f,2,0,77,F5,1731,
pp,1,0,78,F#5,1742,
pp,2,0,78,F#5,1752,
mp,1,0,78,F#5,1763,
mp,2,0,78,F#5,1775,
f,1,0,78,F#5,1786,
f,2,0,78,F#5,1799,
pp,1,0,79,G5,1812,
pp,2,0,79,G5,1823,
mp,1,0,79,G5,1833,
mp,2,0,79,G5,1844,
f,1,0,79,G5,1855,
f,2,0,79,G5,1866,
pp,1,0,80,G#5,1879,
pp,2,0,80,G#5,1888,
mp,1,0,80,G#5,1897,
mp,2,0,80,G#5,1908,
f,1,0,80,G#5,1919,
f,2,0,80,G#5,1931,
pp,1,0,81,A5,1943,
pp,2,0,81,A5,1955,
mp,1,0,81,A5,1966,
mp,2,0,81,A5,1980,
f,1,0,81,A5,1993,
f,2,0,81,A5,2007,
pp,1,0,82,A#5,2020,
pp,2,0,82,A#5,2028,
mp,1,0,82,A#5,2036,
mp,2,0,82,A#5,2047,
f,1,0,82,A#5,2057,
f,2,0,82,A#5,2067,
pp,1,0,83,B5,2077,
pp,2,0,83,B5,2085,
mp,1,0,83,B5,2094,
mp,2,0,83,B5,2108,
f,1,0,83,B5,2119,d
f,1,0,83,B5,2126,
f,2,0,83,B5,2141,
pp,1,0,84,C6,2155,d
pp,1,0,84,C6,2160,
pp,2,0,84,C6,2170,
mp,1,0,84,C6,2180,
mp,2,0,84,C6,2191,
f,1,0,84,C6,2203,
f,2,0,84,C6,2216,
pp,1,0,85,C#6,2228,d
pp,1,0,85,C#6,2232,
pp,2,0,85,C#6,2240,
mp,1,0,85,C#6,2250,
mp,2,0,85,C#6,2262,
f,1,0,85,C#6,2273,
f,2,0,85,C#6,2286,
pp,1,0,86,D6,2300,d
pp,1,0,86,D6,2305,
pp,2,0,86,D6,2314,d
pp,2,0,86,D6,2318,
mp,1,0,86,D6,2328,d
mp,1,0,86,D6,2335,
mp,2,0,86,D6,2344,
f,1,0,86,D6,2351,
f,2,0,86,D6,2362,
pp,1,0,87,D#6,2380,d
pp,1,0,87,D#6,2388,
pp,2,0,87,D#6,2398,
mp,1,0,87,D#6,2404,
mp,2,0,87,D#6,2413,
f,1,0,87,D#6,2423,
f,2,0,87,D#6,2435,
pp,1,0,88,E6,2446,
pp,2,0,88,E6,2457,
mp,1,0,88,E6,2466,
mp,2,0,88,E6,2475,
f,1,0,88,E6,2485,
f,2,0,88,E6,2496,
pp,1,0,89,F6,2507,d
pp,1,0,89,F6,2511,
pp,2,0,89,F6,2519,
mp,1,0,89,F6,2527,
mp,2,0,89,F6,2538,
f,1,0,89,F6,2549,
f,2,0,89,F6,2560,
pp,1,0,90,F#6,2764,
pp,2,0,90,F#6,2771,
mp,1,0,90,F#6,2780,
mp,2,0,90,F#6,2790,
f,1,0,90,F#6,2800,d
f,1,0,90,F#6,2811,
f,2,0,90,F#6,2822,
pp,1,0,91,G6,2833,d
pp,1,0,91,G6,2837,d
pp,1,0,91,G6,2846,
pp,2,0,91,G6,2853,
mp,1,0,91,G6,2860,
mp,2,0,91,G6,2870,
f,1,0,91,G6,2880,
f,2,0,91,G6,2890,
pp,1,0,92,G#6,2901,
pp,2,0,92,G#6,2908,
mp,1,0,92,G#6,2916,
mp,2,0,92,G#6,2925,
f,1,0,92,G#6,2935,
f,2,0,92,G#6,2946,d
f,2,0,92,G#6,2951,
pp,1,0,93,A6,2961,
pp,2,0,93,A6,2970,
mp,1,0,93,A6,2979,
mp,2,0,93,A6,2991,
f,1,0,93,A6,3002,
f,2,0,93,A6,3013,
pp,1,0,94,A#6,3025,d
pp,1,0,94,A#6,3029,
pp,2,0,94,A#6,3037,
mp,1,0,94,A#6,3046,
mp,2,0,94,A#6,3056,
f,1,0,94,A#6,3067,
f,2,0,94,A#6,3079,
pp,1,0,95,B6,3091,
pp,2,0,95,B6,3098,
mp,1,0,95,B6,3105,
mp,2,0,95,B6,3113,
f,1,0,95,B6,3121,
f,2,0,95,B6,3132,
pp,1,0,96,C7,3141,
pp,2,0,96,C7,3148,
mp,1,0,96,C7,3155,
mp,2,0,96,C7,3161,
f,1,0,96,C7,3167,
