Velocity,Repitition,PitchIndex,Pitch,Time,Delete
f,1,0,12,C0,8,
f,1,0,13,C#0,19,
f,1,0,14,D0,30,
f,1,0,15,D#0,41,
f,1,0,16,E0,52,
f,1,0,17,F0,63,
f,1,0,18,F#0,74,
f,1,0,19,G0,85,d
f,1,0,19,G0,90,
f,1,0,20,G#0,101,
f,1,0,21,A0,112,
f,1,0,22,A#0,123,
f,1,0,23,B0,134,d
f,1,0,23,B0,140,
f,1,0,24,C1,151,
f,1,0,25,C#1,162,
f,1,0,26,D1,173,
f,1,0,27,D#1,184,
f,1,0,28,E1,195,
f,1,0,29,F1,206,
f,1,0,30,F#1,217,
f,1,0,31,G1,228,
f,1,0,32,G#1,239,
f,1,0,33,A1,250,
f,1,0,34,A#1,261,
f,1,0,35,B1,272,
f,1,0,36,C2,283,
f,1,0,37,C#2,294,
f,1,0,38,D2,305,
f,1,0,39,D#2,316,
f,1,0,40,E2,327,
f,1,0,41,F2,338,
f,1,0,42,F#2,349,
f,1,0,43,G2,360,
f,1,0,44,G#2,371,
f,1,0,45,A2,382,
f,1,0,46,A#2,393,
f,1,0,47,B2,404,
f,1,0,48,C3,414,
f,1,0,49,C#3,415,
