Velocity,Repitition,PitchIndex,Pitch,Time,Delete
f,1,0,46,A#2,11,
f,1,0,47,B2,22,
f,1,0,48,C3,33,d
f,1,0,48,C3,39,
f,1,0,49,C#3,50,
f,1,0,50,D3,61,
f,1,0,51,D#3,72,
f,1,0,52,E3,83,d
f,1,0,52,E3,94,
f,1,0,53,F3,105,
f,1,0,54,F#3,116,
f,1,0,55,G3,127,
f,1,0,56,G#3,138,d
f,1,0,56,G#3,219,
f,1,0,57,A3,246,d
f,1,0,57,A3,252,
f,1,0,58,A#3,263,
f,1,0,59,B3,274,
f,1,0,60,C4,285,
f,1,0,61,C#4,296,d
f,1,0,61,C#4,301,
f,1,0,62,D4,312,
f,1,0,63,D#4,323,
f,1,0,64,E4,334,
f,1,0,65,F4,345,
f,1,0,66,F#4,356,
f,1,0,67,G4,367,
f,1,0,68,G#4,378,
f,1,0,69,A4,389,
f,1,0,70,A#4,400,
f,1,0,71,B4,411,
f,1,0,72,C5,422,
