Velocity,Repitition,PitchIndex,Pitch,Time,Delete
f,1,0,12,C0,20,d
f,1,0,12,C0,26,d
f,1,0,12,C0,31,
f,1,0,13,C#0,42,
f,1,0,14,D0,53,
f,1,0,15,D#0,64,
f,1,0,16,E0,75,
f,1,0,17,F0,86,
f,1,0,18,F#0,97,
f,1,0,19,G0,108,
f,1,0,20,G#0,119,
f,1,0,21,A0,130,
f,1,0,22,A#0,141,
f,1,0,23,B0,152,
f,1,0,24,C1,163,
f,1,0,25,C#1,174,
f,1,0,26,D1,185,
f,1,0,27,D#1,196,
f,1,0,28,E1,207,
f,1,0,29,F1,218,
f,1,0,30,F#1,229,d
f,1,0,30,F#1,232,
f,1,0,31,G1,243,
f,1,0,32,G#1,254,
f,1,0,33,A1,265,d
f,1,0,33,A1,270,
f,1,0,34,A#1,281,
f,1,0,35,B1,292,
f,1,0,36,C2,303,
f,1,0,37,C#2,314,d
f,1,0,37,C#2,320,
f,1,0,38,D2,331,d
f,1,0,38,D2,337,
f,1,0,39,D#2,348,
f,1,0,40,E2,359,
f,1,0,41,F2,370,
f,1,0,42,F#2,381,d
f,1,0,42,F#2,385,
f,1,0,43,G2,396,
