Velocity,Repitition,PitchIndex,Pitch,Time,Delete
f,1,0,12,C0,9,
f,1,0,13,C#0,20,
f,1,0,14,D0,31,
f,1,0,15,D#0,42,d
f,1,0,15,D#0,45,d
f,1,0,15,D#0,51,
f,1,0,16,E0,62,
f,1,0,17,F0,73,
f,1,0,18,F#0,84,d
f,1,0,18,F#0,90,d
f,1,0,18,F#0,94,
f,1,0,19,G0,105,
f,1,0,20,G#0,116,
f,1,0,21,A0,127,
f,1,0,22,A#0,138,d
f,1,0,22,A#0,148,
f,1,0,23,B0,171,d
f,1,0,23,B0,182,
f,1,0,24,C1,193,
f,1,0,25,C#1,204,
f,1,0,26,D1,215,
f,1,0,27,D#1,226,
f,1,0,28,E1,237,
f,1,0,29,F1,248,
f,1,0,30,F#1,259,
f,1,0,31,G1,270,
f,1,0,32,G#1,281,
f,1,0,33,A1,292,d
f,1,0,33,A1,299,
f,1,0,34,A#1,310,
f,1,0,35,B1,321,
f,1,0,36,C2,332,
f,1,0,37,C#2,343,d
f,1,0,37,C#2,346,
f,1,0,38,D2,357,
f,1,0,39,D#2,368,
f,1,0,40,E2,379,
f,1,0,41,F2,390,
f,1,0,42,F#2,401,
f,1,0,43,G2,412,
f,1,0,44,G#2,423,
f,1,0,45,A2,434,
f,1,0,46,A#2,445,
f,1,0,47,B2,456,
f,1,0,48,C3,467,
f,1,0,49,C#3,478,
f,1,0,50,D3,489,
