Velocity,Repitition,PitchIndex,Pitch,Time,Delete
f,1,0,48,C3,14,
f,1,0,49,C#3,25,
f,1,0,50,D3,36,d
f,1,0,50,D3,39,d
f,1,0,50,D3,46,
f,1,0,51,D#3,57,
f,1,0,52,E3,68,
f,1,0,53,F3,79,d
f,1,0,53,F3,86,d
f,1,0,53,F3,89,
f,1,0,54,F#3,100,
f,1,0,55,G3,111,
f,1,0,56,G#3,122,
f,1,0,57,A3,133,
f,1,0,58,A#3,144,
f,1,0,59,B3,155,
f,1,0,60,C4,166,d
f,1,0,60,C4,173,
f,1,0,61,C#4,184,
f,1,0,62,D4,195,
f,1,0,63,D#4,206,
f,1,0,64,E4,217,d
f,1,0,64,E4,220,
f,1,0,65,F4,231,
f,1,0,66,F#4,242,
f,1,0,67,G4,253,d
f,1,0,67,G4,257,
f,1,0,68,G#4,268,d
f,1,0,68,G#4,274,
f,1,0,69,A4,285,d
f,1,0,69,A4,290,d
f,1,0,69,A4,295,
f,1,0,70,A#4,306,d
f,1,0,70,A#4,310,
f,1,0,71,B4,321,d
f,1,0,71,B4,325,d
f,1,0,71,B4,329,
f,1,0,72,C5,340,d
f,1,0,72,C5,348,d
f,1,0,72,C5,353,d
f,1,0,72,C5,357,
f,1,0,73,C#5,368,
