X,Velocity,Repitition,Sustain,MidiPitch,Pitch,Time,Delete,Duration,Max,Transient,Stamp
1,pp,1,0,49,C#3,21,d,,,,
2,pp,1,0,21,A0,45,,26.96,0.015716552734375,4006,2284400
3,pp,2,0,21,A0,72,,30.96,0.02069091796875,1097,3578600
4,mp,1,0,21,A0,103,,30.06,0.022796630859375,4570,5064600
5,mp,2,0,21,A0,133,,32.01,0.0205078125,4584,6507400
6,f,1,0,21,A0,165,,28.99,0.036712646484375,4641,8043800
7,f,2,0,21,A0,194,,32.04,0.0418701171875,4618,9435200
8,pp,1,0,22,A#0,226,,27.96,0.0191650390625,3611,10973000
9,pp,2,0,22,A#0,254,,27.03,0.022491455078125,3793,12315200
10,mp,1,0,22,A#0,281,,28.97,0.03973388671875,4196,13612600
11,mp,2,0,22,A#0,310,,29,0.042266845703125,4322,15003200
12,f,1,0,22,A#0,339,,33.02,0.07196044921875,4380,16395000
13,f,2,0,22,A#0,372,,37,0.06561279296875,4353,17979800
14,pp,1,0,23,B0,409,,35,0.02276611328125,12772,19755800
15,pp,2,0,23,B0,444,,32.02,0.019805908203125,12774,21435600
16,mp,1,0,23,B0,476,,38,0.037353515625,13167,22972400
17,mp,2,0,23,B0,514,,35,0.03240966796875,13207,24796200
18,f,1,0,23,B0,549,d,,,,
19,f,1,0,23,B0,554,,37.28,0.0570068359375,13392,26701200
20,f,2,0,23,B0,591,,38.02,0.051788330078125,13320,28490800
21,pp,1,0,24,C1,629,,31,0.014251708984375,12525,30315600
22,pp,2,0,24,C1,660,,32,0.01513671875,12528,31803600
23,mp,1,0,24,C1,692,,29.98,0.037689208984375,3889,33339600
24,mp,2,0,24,C1,722,,34.04,0.03143310546875,3783,34778800
25,f,1,0,24,C1,756,,30,0.043701171875,3854,36412800
26,f,2,0,24,C1,786,d,,,,
27,f,2,0,24,C1,802,,32.99,0.042449951171875,3785,38620400
28,pp,1,0,25,C#1,835,,27.01,0.018890380859375,2135,40203800
29,pp,2,0,25,C#1,862,,31,0.01654052734375,2032,41500400
30,mp,1,0,25,C#1,893,,36.01,0.035919189453125,2482,42988400
31,mp,2,0,25,C#1,929,,33.98,0.028717041015625,2378,44717000
32,f,1,0,25,C#1,963,,33.99,0.04595947265625,2574,46348200
33,f,2,0,25,C#1,997,,36.07,0.04632568359375,2516,47979800
34,pp,1,0,26,D1,1033,,22.9,0.008819580078125,6934,49711000
35,pp,2,0,26,D1,1056,,23.05,0.0098876953125,6902,50810400
36,mp,1,0,26,D1,1079,,28.96,0.025054931640625,7231,51917000
37,mp,2,0,26,D1,1108,,29.03,0.028045654296875,7288,53307000
38,f,1,0,26,D1,1137,,30.99,0.0433349609375,7354,54700600
39,f,2,0,26,D1,1168,d,,,,
40,f,2,0,26,D1,1172,,31.06,0.04510498046875,7310,56367400
41,pp,1,0,27,D#1,1244,,29.96,0.010101318359375,11441,59837000
