Velocity,Repitition,Sustain,MidiPitch,Pitch,Time,Delete
pp,1,-0.5,21,A0,11,
pp,2,-0.5,21,A0,45,
mp,1,-0.5,21,A0,68,
mp,2,-0.5,21,A0,102,
f,1,-0.5,21,A0,133,
f,2,-0.5,21,A0,174,
pp,1,-0.5,22,A#0,334,
pp,2,-0.5,22,A#0,363,
mp,1,-0.5,22,A#0,392,
mp,2,-0.5,22,A#0,422,
f,1,-0.5,22,A#0,453,
f,2,-0.5,22,A#0,485,
pp,1,-0.5,23,B0,531,
pp,2,-0.5,23,B0,556,
mp,1,-0.5,23,B0,586,
mp,2,-0.5,23,B0,618,
f,1,-0.5,23,B0,646,
f,2,-0.5,23,B0,680,
pp,1,-0.5,24,C1,725,
pp,2,-0.5,24,C1,752,d
pp,2,-0.5,24,C1,770,
mp,1,-0.5,24,C1,797,
mp,2,-0.5,24,C1,831,d
mp,2,-0.5,24,C1,870,
f,1,-0.5,24,C1,902,
f,2,-0.5,24,C1,937,
pp,1,-0.5,25,C#1,976,
pp,2,-0.5,25,C#1,1009,
mp,1,-0.5,25,C#1,1042,
mp,2,-0.5,25,C#1,1079,
f,1,-0.5,25,C#1,1113,
f,2,-0.5,25,C#1,1152,
pp,1,-0.5,26,D1,1198,
pp,2,-0.5,26,D1,1225,
mp,1,-0.5,26,D1,1253,
mp,2,-0.5,26,D1,1282,
f,1,-0.5,26,D1,1312,
f,2,-0.5,26,D1,1344,
pp,1,-0.5,27,D#1,1391,d
pp,1,-0.5,27,D#1,1407,
pp,2,-0.5,27,D#1,1434,
mp,1,-0.5,27,D#1,1463,
mp,2,-0.5,27,D#1,1494,
f,1,-0.5,27,D#1,1525,
f,2,-0.5,27,D#1,1559,
pp,1,-0.5,28,E1,1614,
pp,2,-0.5,28,E1,1645,
mp,1,-0.5,28,E1,1676,
mp,2,-0.5,28,E1,1712,
f,1,-0.5,28,E1,1744,
f,2,-0.5,28,E1,1778,
pp,1,-0.5,29,F1,1842,
pp,2,-0.5,29,F1,1870,
mp,1,-0.5,29,F1,1900,
mp,2,-0.5,29,F1,1939,
f,1,-0.5,29,F1,1972,
f,2,-0.5,29,F1,2011,
pp,1,-0.5,30,F#1,2067,
pp,2,-0.5,30,F#1,2092,
mp,1,-0.5,30,F#1,2115,
mp,2,-0.5,30,F#1,2146,
f,1,-0.5,30,F#1,2176,
f,2,-0.5,30,F#1,2211,
pp,1,-0.5,31,G1,2279,
pp,2,-0.5,31,G1,2306,
mp,1,-0.5,31,G1,2331,
mp,2,-0.5,31,G1,2358,
f,1,-0.5,31,G1,2389,
f,2,-0.5,31,G1,2425,
pp,1,-0.5,32,G#1,2471,
pp,2,-0.5,32,G#1,2497,
mp,1,-0.5,32,G#1,2527,
mp,2,-0.5,32,G#1,2563,
f,1,-0.5,32,G#1,2591,
f,2,-0.5,32,G#1,2626,
pp,1,-0.5,33,A1,2673,
pp,2,-0.5,33,A1,2723,
mp,1,-0.5,33,A1,2747,
mp,2,-0.5,33,A1,2782,
f,1,-0.5,33,A1,2819,
f,2,-0.5,33,A1,2858,
pp,1,-0.5,34,A#1,2908,
pp,2,-0.5,34,A#1,2933,
mp,1,-0.5,34,A#1,2958,
mp,2,-0.5,34,A#1,2984,
f,1,-0.5,34,A#1,3016,
f,2,-0.5,34,A#1,3047,
pp,1,-0.5,35,B1,3090,
pp,2,-0.5,35,B1,3112,
mp,1,-0.5,35,B1,3134,
mp,2,-0.5,35,B1,3159,
f,1,-0.5,35,B1,3183,
f,2,-0.5,35,B1,3216,
pp,1,-0.5,36,C2,3265,
pp,2,-0.5,36,C2,3289,
mp,1,-0.5,36,C2,3312,
mp,2,-0.5,36,C2,3342,
f,1,-0.5,36,C2,3373,
f,2,-0.5,36,C2,3404,
pp,1,-0.5,37,C#2,3466,
pp,2,-0.5,37,C#2,3487,
mp,1,-0.5,37,C#2,3508,
mp,2,-0.5,37,C#2,3533,
f,1,-0.5,37,C#2,3558,
f,2,-0.5,37,C#2,3594,
pp,1,-0.5,38,D2,3656,
pp,2,-0.5,38,D2,3677,
mp,1,-0.5,38,D2,3692,
mp,2,-0.5,38,D2,3718,
